,Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,high,low,volume,price,1daily_return,2daily_return,3daily_return,5daily_return,10daily_return
402,LLY,10-K,2020-02-19,1167.0,555.0,768.0,775.0,106.0,256.0,291.0,,,,,,,,,
403,LLY,10-K,2021-02-17,1163.0,656.0,922.0,863.0,114.0,332.0,318.0,,,,,,,,,
404,LLY,10-K,2022-02-23,,,,,,,,,,,,,,,,
405,LLY,10-K,2023-02-22,1217.0,632.0,956.0,846.0,116.0,364.0,365.0,,,,,,,,,
406,LMT,10-K,2013-02-28,725.0,462.0,784.0,868.0,87.0,279.0,346.0,,,,,,,,,
407,LMT,10-K,2014-02-14,757.0,461.0,866.0,902.0,95.0,304.0,390.0,,,,,,,,,
408,LMT,10-K,2015-02-09,792.0,506.0,894.0,923.0,105.0,324.0,432.0,,,,,,,,,
409,LMT,10-K,2016-02-24,951.0,529.0,1116.0,999.0,166.0,379.0,503.0,,,,,,,,,
410,LMT,10-K,2017-02-09,995.0,583.0,1109.0,967.0,128.0,380.0,499.0,,,,,,,,,
411,LMT,10-K,2018-02-06,1019.0,620.0,1066.0,973.0,120.0,388.0,525.0,,,,,,,,,
412,LMT,10-K,2018-02-16,396.0,280.0,298.0,352.0,48.0,86.0,191.0,,,,,,,,,
413,LMT,10-K,2019-02-08,1053.0,671.0,1047.0,1090.0,114.0,398.0,546.0,,,,,,,,,
414,LMT,10-K,2020-02-07,1037.0,617.0,1145.0,1119.0,85.0,451.0,598.0,,,,,,,,,
415,LMT,10-K,2021-01-28,1111.0,643.0,1223.0,1154.0,101.0,513.0,611.0,,,,,,,,,
416,LMT,10-K,2022-01-25,1153.0,665.0,1241.0,1250.0,122.0,528.0,670.0,,,,,,,,,
417,LMT,10-K,2023-01-26,1135.0,674.0,1193.0,1208.0,114.0,531.0,622.0,,,,,,,,,
418,LOW,10-K,2013-04-02,494.0,341.0,376.0,229.0,51.0,120.0,236.0,,,,,,,,,
419,LOW,10-K,2014-03-31,489.0,350.0,374.0,250.0,66.0,134.0,231.0,,,,,,,,,
420,LOW,10-K,2015-03-31,468.0,313.0,363.0,252.0,48.0,139.0,228.0,,,,,,,,,
421,LOW,10-K,2016-03-29,556.0,361.0,429.0,266.0,59.0,171.0,258.0,,,,,,,,,
422,LOW,10-K,2017-04-04,620.0,376.0,452.0,293.0,59.0,187.0,298.0,,,,,,,,,
423,LOW,10-K,2018-04-02,648.0,385.0,475.0,314.0,60.0,209.0,276.0,,,,,,,,,
424,LOW,10-K,2019-04-02,788.0,415.0,522.0,357.0,56.0,217.0,332.0,,,,,,,,,
425,LOW,10-K,2020-03-23,738.0,331.0,485.0,318.0,73.0,216.0,290.0,,,,,,,,,
426,LOW,10-K,2021-03-22,633.0,368.0,456.0,276.0,47.0,202.0,242.0,,,,,,,,,
427,LOW,10-K,2022-03-21,654.0,334.0,486.0,282.0,53.0,222.0,224.0,,,,,,,,,
428,MA,10-K,2014-02-14,1068.0,439.0,946.0,1069.0,60.0,462.0,361.0,,,,,,,,,
429,MA,10-K,2015-02-13,986.0,430.0,857.0,977.0,50.0,435.0,341.0,,,,,,,,,
430,MA,10-K,2016-02-12,957.0,416.0,817.0,857.0,49.0,437.0,309.0,,,,,,,,,
431,MA,10-K,2017-02-15,1021.0,447.0,826.0,955.0,68.0,443.0,340.0,,,,,,,,,
432,MA,10-K,2018-02-14,1104.0,535.0,964.0,1005.0,111.0,498.0,409.0,,,,,,,,,
433,MA,10-K,2019-02-13,1028.0,527.0,883.0,1024.0,67.0,461.0,407.0,,,,,,,,,
434,MA,10-K,2020-02-14,1060.0,499.0,870.0,974.0,63.0,462.0,350.0,,,,,,,,,
435,MA,10-K,2021-02-12,1094.0,526.0,850.0,989.0,55.0,462.0,369.0,,,,,,,,,
